loai,nhan,lan_chay,chuoi,env_step,ham_reward,ban_do,do_dai,reward,lech_lan_m,junction_steps,ket_thuc,va_cham_pct,n,policy_loss,value_loss,entropy,explained_variance,approx_kl,clip_fraction,steps_per_sec,ghi_chu
episode,ppo_v1,ppo_v1,PPO-A reward tho,0,raw,,423,3446.5290932675807,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,0,raw,,135,491.62094907193955,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,0,raw,,72,48.85245018089785,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,0,raw,,250,2248.814872243199,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,1024,raw,,500,5001.426198411502,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,1024,raw,,325,3558.590072788386,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,1024,raw,,107,350.1067172431323,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,2048,raw,,500,3386.5858048278124,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,2048,raw,,467,3470.9882702853124,,,off_lane,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,3072,raw,,500,3783.985673560408,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,3072,raw,,500,3719.312304783691,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,3072,raw,,202,976.7167517772216,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,4096,raw,,132,983.9850680391455,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,4096,raw,,392,2125.460800321711,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,4096,raw,,500,4593.007155044311,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,5120,raw,,169,-91.32189156235239,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,5120,raw,,441,489.8555150186015,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,5120,raw,,372,2826.943283417643,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,6144,raw,,260,876.373415139426,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,6144,raw,,80,183.30693691296034,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,6144,raw,,43,-129.16535778922827,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,6144,raw,,500,3364.7449939885823,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,6144,raw,,295,3220.1773344268536,,,off_lane,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,7168,raw,,382,715.0874483768814,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,7168,raw,,58,-25.203195048738223,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,7168,raw,,49,-76.16731140076416,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
