algo,run,env_step,town,terminate_reason,episode_len,episode_reward,mean_abs_lane_offset_road,junction_steps,ghi_chu
PPO,ppo_v1,0,,collision,423,3446.5290932675807,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,0,,collision,135,491.62094907193955,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,0,,collision,72,48.85245018089785,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,0,,collision,250,2248.814872243199,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,1024,,time_limit,500,5001.426198411502,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,1024,,collision,325,3558.590072788386,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,1024,,collision,107,350.1067172431323,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,2048,,time_limit,500,3386.5858048278124,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,2048,,off_lane,467,3470.9882702853124,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,3072,,time_limit,500,3783.985673560408,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,3072,,time_limit,500,3719.312304783691,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,3072,,collision,202,976.7167517772216,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,4096,,collision,132,983.9850680391455,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,4096,,collision,392,2125.460800321711,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,4096,,time_limit,500,4593.007155044311,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,5120,,collision,169,-91.32189156235239,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,5120,,collision,441,489.8555150186015,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,5120,,collision,372,2826.943283417643,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,6144,,collision,260,876.373415139426,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,6144,,collision,80,183.30693691296034,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,6144,,collision,43,-129.16535778922827,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,6144,,time_limit,500,3364.7449939885823,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,6144,,off_lane,295,3220.1773344268536,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,7168,,collision,382,715.0874483768814,,,"reward raw, penalty 300, chi Town04"
