algo,run,env_step,explained_variance,mean_episode_reward,steps_per_sec,entropy,ghi_chu
PPO,ppo_v1,0,,1558.9543411909042,13.081645479828678,-1.6621229648590088,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,1024,,2163.705764743805,15.26669431778126,-1.6621229648590088,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,2048,,2444.8349364799737,15.209738547844626,-1.6621229648590088,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,3072,,2540.294096536757,14.980819838810941,-1.6621229648590088,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,4096,,2545.7321454564167,15.052914942244872,-1.6621229648590088,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,5120,,2300.6366160400075,14.523513361683312,-1.6621229648590088,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,6144,,2246.9946959439158,14.585119338375645,-1.6621229648590088,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,7168,,1600.3405847022982,14.896812018413529,-1.6621229648590088,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,8192,,1491.4773656885548,15.088875774602295,-1.6621229648590088,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,9216,,1340.5589999136253,14.608491457965657,-1.6621229648590088,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,10240,,1506.3191596780955,11.628113916877991,-1.6618278458714486,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,11264,,1470.5453708357602,11.610116474575534,-1.6616861447691917,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,12288,,1780.3384918638433,11.841723721670194,-1.6620831564068794,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,13312,,2248.4466537161584,11.956507279253614,-1.6622854948043824,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,14336,,2124.6698184511365,11.942515007316368,-1.6621419429779052,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,15360,,2575.494491300376,11.880576520222624,-1.6633036643266679,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,16384,,2696.3417193487794,11.93009749608235,-1.6645646706223487,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,17408,,2845.6670566872353,12.00260107707663,-1.6643361359834672,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,18432,,3059.0222541523685,11.981149633396345,-1.664203990995884,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,19456,,3396.5169634133517,11.994835127096621,-1.6640248775482178,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,20480,,3134.5291950209894,11.693030834128201,-1.6640740394592286,"reward raw, penalty 300, chi Town04"
